time,z,y,x,psi,theta
2.9412,31.421,7.1467,1.20E-05,-7.59236E-06,0.750962817
2.9912,31.638,7.332,1.20E-05,-7.94474E-06,0.736284598
3.0412,31.831,7.5165,1.19E-05,-8.23377E-06,0.720716261
3.0912,32.001,7.7001,1.18E-05,-8.48736E-06,0.7042229
3.1412,32.147,7.8828,1.17E-05,-8.72089E-06,0.686769607
3.1912,32.269,8.0645,1.15E-05,-8.9483E-06,0.668426197
3.2412,32.368,8.2454,1.12E-05,-9.14518E-06,0.649384655
3.2912,32.443,8.4252,1.09E-05,-9.30383E-06,0.629749701
3.3412,32.495,8.6042,1.06E-05,-9.43892E-06,0.609713321
3.3912,32.524,8.7821,1.02E-05,-9.55341E-06,0.589397688
3.4412,32.529,8.959,9.78E-06,-9.659E-06,0.56894243
